What are the top 5 restaurants?,name
What are the best 5 restaurants?,name
What is the best place to take your kids?,name
Does 'The Orleans Hotel & Casino' accet Credit cards?,yn
Is 'The Orleans Hotel & Casino' kids friendly?,yn
What are the best places to smoke?,name
Where is 'PT's' located?,addr
What is the best time for Centennial Pkwy?,hours
How good is 'PT's'?,stars
What are some of the classy places in Las Vegas?,name
What are some of the romantic places in Las Vegas?,name
What are some of the hipster places in Las Vegas?,name
What are some of the intimate places in Las Vegas?,name
What are some of the divey places in Las Vegas?,name
What are some of the touristy places in Las Vegas?,name
What are some of the trendy places in Las Vegas?,name
What are some of the upscale places in Las Vegas?,name
What are some of the casual places in Las Vegas?,name
Where is parking available near Centennial Pkwy?,addr
What are some best places to have brunch?,name
What is the best day to visit 'PT's'?,hours
Where can I get good Chinese food in Vegas?,name
When is a good time to hit the casinos on a Tuesday?,hours
Which high rated hotel is closest to the Downtown ?,name
Where should I go for a good hike?,name
Is this place pet friendly?,yn
Can I buy alcohol somewhere after 2 am?,yn
Which hotel can I check into if I am arriving in Las Vegas at 4 am?,name
Are there good Italian places around it?,yn
Are there medical facilities available on this street?,yn
Can I take my dog in there?,yn
Will I be able to shop for clothes on this street?,yn
Should I make a reservation beforehand?,yn
Which is the best place to get a good massage?,name
Is parking available here?,yn
Which street is PT's located at? ,addr
Which is the best strip club in Las Vegas,name
Will I need a reservation for PT's?,yn
Will PT's be open at midnight?,yn
What are some good places to visit with a group?,name
Where can I get good alcohol?,name
Where is Orleans located?,addr
Does it have Wifi?,yn
What are the best hospitals for dogs?,name
Where can I get good Pizzas?,name
Which are the cheap places to eat Pizzas?,name
Where can I sit outside and eat?,name
Which days is this place open?,hours
Where can I leave my kids to visit Las Vegas casinos?,name
What is a good casino in Las Vegas,name
Where can I stay in Las Vegas?,addr
What is a good place in Las Vegas for a scotch and cigar?,name
What is the best car rental in Vegas?,name
Is this place good for kids?,yn
Is parking available here?,yn
What are some of the cheap places to eat greek food?,name
Where can I have a candle light dinner?,name
Where can I go bowling?,name
I want to rent an apartment. Suggest me some cheap places?,name
My car got punctured. Where can I get it repaired?,name
Where can I buy light bulb?,name
Are dogs allowed here?,yn
Where can I go if I have flu?,name
Where can I deposit money near Sahara Ave?,name
Where is the closest ATM near Sahara Ave?,addr
Does 'PT's' have Karaoke?,yn
Where can I print my documents?,name
Where can I get my legal documents made?,name
Is valet parking available at 'PT's',yn
Where can I get best Irish cuisine?,name
Where can I buy health insurance?,name
What are some cheap accomodation options?,name
Where can I find hair spa?,name
What is the ambience like?,stars
Where can I buy flowers for my girlfriend at 8 am?,name
I want to get my nails done. Suggest me some nail salon.,name
Suggest me a cheap hotel with tv access.,name
"I forgot to carry my swimsuit, which is a good store I can go to?",name
Where can I get a lap dance?,name
When is karaoke night?,hours
"My watch just broke, is there a good place on this street to get it fixed?",yn
Where should I go for a buffet brunch?,name
Does this place have valet parking?,yn
Tell me a good dinner place with a romantic setting?,name
Is there coffe shop on this street with bike parking?,name
I want to go for a swim. Suggest me the best pools.,name
Tell me about a thrift store that sells kid'd sizes?,name
Is there a Buffalo Exchange that is open on Sundays?,yn
I want to eat sweet. Where can I get good desserts?,name
What are the best noise free places?,name
Where is a good strip club?,name
I want to be fit. Where can I find a gym?,name
I am in a mood for trek. Where can I go to hike?,name
Do I need an appointment?,yn
What are good palces for children in Las Vegas ,name
Is it a romantic place?,yn
"I want to plan a scavenger hunt for my daughter's birthday, is there a service available?",yn
Is there a game going on tonight?,yn
"My hotel does not have a pool, is there a public pool I can access?",yn
"I got the stomach flu, who is the best nutritionist in town?",name
"We just decided to get married, which is the coolest chapel in town? ",name
I am 21. Will I be allowed there?,yn
I am 20. Where can I go in Las Vegas?,name
I am arranging a party. Where can I find photographers?,name
Is WIFI free here?,yn
Do I need insurance to visit 'Loren K Hansen'?,yn
Is 'Red Rock Radiology' open for walk-ins?,yn
I have got bed-bugs at my house. Suggest me a good pest control agency?,name
Are there any ayurvedic clinics in Las Vegas?,yn
Where can I buy used furniture?,name
What is the best dancing place?,name
Best places to eat chicken?,name
Cheap accommodation?,name
What's the best singles bar?,name
Where can I get a tattoo?,name
Where can I get a Swedish massage?,name
Where can I get gluten-free food?,name
Where can I get the best beer?,name
Where can I find the best casinos in the city?,addr
What's the most interesting place here?,name
Which place has an amazing sunset view?,name
Where can I go for some outdoor sports?,addr
Does this place have an interesting history?,yn
Where do they serve the best coffee around?,name
Where is the closest ATM around?,addr
Where can I get Indian food in Las Vegas?,name
Which is the best Indian restaurant here?,name
Famous bakery in las vegas?,name
Which is the best casino in Las Vegas ?,name
Where is a fine italian Retaurant near by?,addr
Is there a cathedral close to the airport?,yn
Which are the most popular gay bars?,name
Which is the most beautiful place to visit here?,name
Can you tell me the best economical restaurants for a lunch around here?,yn
How good is the coffee at Jamaica Jo's?,stars
How good is the Sidewalk Cafe?,stars
How popular is the Outback Steakhouse?,stars
How much in demand is Maggiano's Little Italy?,stars
How well liked is San Francisco Shrimp Bar and Deli?,stars
How good is Myxx Hookah Lounge for a group of people?,stars
How popular is Sophia's Gentlemens Club?,stars
Is Blue Water Restaurant & Sports Bar better than Irene's Gaming Lounge?,yn
How popular is DJ's Taco Bar?,stars
How commonly do people visit Jason Alexander as Donny Clay?,stars
How generally do people visit Academy of Hair Design?,stars
How popular is The Oink Cafe-Phoenix?,stars
How good is the Thai Room for a quality dinner?,stars
How good are the ratings for the Sonic Drive-in?,stars
How popular is Dairy Queen here?,stars
How good are the Red Robin Gourmet Burgers?,stars
What is your overall impression of Dynamite Grill?,stars
How was the food at the restaurant?,stars
How was the service of Tommy Hilfiger?,stars
How does the place smell?,stars
What is the vibe of the place?,stars
How well groomed are the waiters?,stars
How is the environment of the place?,stars
How well organised was everything?,stars
How was the quality of the food?,stars
Was the quality of the food good?,yn
Was the environment of the place nice?,yn
Is the service of Tommy Hilfiger better than Dynamite grill?,yn
Does this restaurant serve good food?,yn
Where can I find a person 's address from a telephone number ?,addr
What is the web address of the list of e-mail addresses of members of the House of Representatives ?,addr
What is the address for the main government office in Rome,addr
What is the address of the famous Mexican star `` Thalia '' ?,addr
What is the street address of the White House ?,addr
Where can I buy a good snowboard for less than $200 ?,addr
Where can I buy movies on videotape,addr
Where can I buy a hat like the kind Jay Kay from Jamiroquai wears ?,addr
Where can I find a tape or book to help me say,addr
Where can I buy a pony on the Big Island for my daughter ?,addr
Where is Mozambique located ?,addr
Where is the Rose Bowl played ?,addr
Where is the Savannah River ?,addr
Where is the Eiffel Tower ?,addr
Where is the Little League Museum ?,addr
Where is the Mason/Dixon line ?,addr
Where is the tallest roller coaster located ?,addr
Where is the world 's most active volcano located ?,addr
Where is Ayer 's rock ?,addr
Where is South Bend ?,addr
Where is John Wayne airport ?,addr
Where is the Orinoco River ?,addr
Where is Milan ?,addr
Where is the Mall of the America ?,addr
Where is Prince Edward Island ?,addr
Where is Perth ?,addr
Where is the Holland Tunnel ?,addr
Where is the volcano Mauna Loa ?,addr
Where is the Shawnee National Forest ?,addr
Where is the Lourve ?,addr
Where is the Euphrates River ?,addr
Where is the volcano Olympus Mons located ?,addr
Where is the Grand Canyon ?,addr
Where is the Thomas Edison Museum ?,addr
Where is the official `` zero '' of the sea level ?,addr
Where is the oldest living thing on earth ?,addr
Where is the massive North Korean nuclear complex located ?,addr
Where is Microsoft 's corporate headquarters located ?,addr
Where is McCarren Airport ?,addr
Where is McCarren Airport located ?,addr
Where is the largest post office building in the world ?,addr
Where is the Taj Mahal ?,addr
What is the quality of of room service?,stars
What are the places to shop on the Strip?,name
What is the best hiking place in Vegas?,name
Where can I find grocery items?,name
Will I get sushi at Town Square?,yn
How good is The Great Canyon?,stars
How expensive is this restaurant?,stars
What can we do to entertain children in Las Vegas?,name
When is The Peacemakers Firearms open?,hours
When is the The Peacemakers Firearms open on Monday?,hours
Is The Peacemakers Firearms open at 6?,yn
Till when can I shop at Genx Clothing?,hours
Is Genx Clothing a good shopping place for women?,yn
What time is Freedom Medical Supply open?,hours
How is the quality of room service?,stars
Is the quality of room service nice?,yn
Is the room service quick?,yn
On average how long time does it take to type a screenplay ?,hours
When is the Tulip Festival in Michigan ?,hours
When is the site www.questions.com going to open ?,hours
When is Bastille Day ?,hours
When is Father 's Day ?,hours
Is beer available here?,yn
Is this place gluten-free?,yn
Does this place have parking?,yn
Does this place have outdoor seating?,yn
Does this place have chinese food?,yn
Is this place open after 9 pm?,hours
Are kids allowed here?,yn
How late is Halloween Town open?,hours
How early does Einstein Bros Bagels open for breakfast?,hours
What time can I go to Rose Threading?,hours
When is the Sacred Feather open?,hours
What are the open hours for The Kitchen Gallery?,hours
Does Cinnaholic offer vegan food?,yn
Does Raku serve seafood?,yn
Does this place have wifi?,yn
Do I need to take an appointment?,yn
Is this place too noisy?,yn